Program 4 Listening (Sampling ~33% of data)...
SAMPLED : WINDOW SIZE: [50] Load: 20.0% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.0% | Temp: 41.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 17.8% | Temp: 41.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 13.3% | Temp: 41.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 14.0% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 15.0% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 12.9% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 11.2% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 12.2% | Temp: 42.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 11.0% | Temp: 41.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.0% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.6% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 11.3% | Temp: 41.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.5% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.8% | Temp: 41.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.4% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.8% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.3% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.8% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.3% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.9% | Temp: 41.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.1% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 8.6% | Temp: 41.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.1% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.5% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.9% | Temp: 41.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.5% | Temp: 41.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.2% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.4% | Temp: 40.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 9.1% | Temp: 40.4°C | Status: OK
