Starting Program 3 (SLOW)...
SLOW : WINDOW SIZE: [50] Load: 20.0% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.0% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.0% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.3% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.2% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 11.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.2% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 11.1% | Temp: 41.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.2% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.4% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.2% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.4% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.8% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.8% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.4% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.8% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.4% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.8% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.1% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.8% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.6% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.5% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.3% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.0% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.3% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.2% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.0% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.8% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.6% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.8% | Temp: 40.4°C | Status: OK
