Program 4 Listening (Sampling ~33% of data)...
SAMPLED : WINDOW SIZE: [50] Load: 20.0% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 10.0% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.7% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 5.0% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 4.0% | Temp: 39.9°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 3.3% | Temp: 39.9°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 2.9% | Temp: 40.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 2.5% | Temp: 40.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 2.2% | Temp: 38.9°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 4.0% | Temp: 39.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 3.6% | Temp: 40.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 3.3% | Temp: 40.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 3.1% | Temp: 40.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 2.9% | Temp: 39.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 2.7% | Temp: 39.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 2.5% | Temp: 39.9°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 3.3% | Temp: 40.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 3.2% | Temp: 39.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 3.9% | Temp: 39.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 4.7% | Temp: 40.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SAMPLED : WINDOW SIZE: [50] Load: 5.2% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.2% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.8% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.3% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.1% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 5.8% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 5.6% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 5.4% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 5.3% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 5.6% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 5.4% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 5.8% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.0% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 5.9% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.2% | Temp: 38.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.1% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 5.9% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 5.8% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.1% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.7% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.6% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.3% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.2% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.6% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.9% | Temp: 39.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.2% | Temp: 40.4°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.2% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 6.8% | Temp: 39.9°C | Status: OK
SAMPLED : WINDOW SIZE: [50] Load: 7.2% | Temp: 38.9°C | Status: OK
