Starting Program 3 (SLOW)...
SLOW : WINDOW SIZE: [50] Load: 40.0% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 20.0% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 13.3% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.0% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.0% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.2% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.3% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.8% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.3% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 38.5°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 38.5°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.1% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.2% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.0% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 38.5°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 38.5°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.6% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.6% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.4% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.8% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 39.4°C | Status: OK
